Date,Open,High,Low,Close,MA50,MA200
2/10/2022,4553.24 ,4588.92 ,4484.31 ,4504.08 ,4610.64 ,4451.03 
2/11/2022,4506.27 ,4526.33 ,4401.41 ,4418.64 ,4608.75 ,4452.06 
2/14/2022,4412.61 ,4426.22 ,4364.84 ,4401.67 ,4605.24 ,4453.16 
2/15/2022,4429.28 ,4472.77 ,4429.28 ,4471.07 ,4603.89 ,4454.56 
2/16/2022,4455.75 ,4489.55 ,4429.68 ,4475.01 ,4601.56 ,4456.11 
2/17/2022,4456.06 ,4456.06 ,4373.81 ,4380.26 ,4595.43 ,4457.17 
2/18/2022,4384.57 ,4394.60 ,4327.22 ,4348.87 ,4588.38 ,4457.91 
2/22/2022,4332.74 ,4362.12 ,4267.11 ,4304.76 ,4581.13 ,4458.27 
2/23/2022,4324.93 ,4341.51 ,4221.51 ,4225.50 ,4571.40 ,4458.45 
2/24/2022,4155.77 ,4294.73 ,4114.65 ,4288.70 ,4563.79 ,4459.14 
2/25/2022,4298.38 ,4385.34 ,4286.83 ,4384.65 ,4558.81 ,4460.74 
2/28/2022,4354.17 ,4388.84 ,4315.12 ,4373.94 ,4552.09 ,4462.05 
3/1/2022,4363.14 ,4378.45 ,4279.54 ,4306.26 ,4544.84 ,4462.71 
3/2/2022,4322.56 ,4401.48 ,4322.56 ,4386.54 ,4540.16 ,4463.83 
3/3/2022,4401.31 ,4416.78 ,4345.56 ,4363.49 ,4536.07 ,4465.01 
3/4/2022,4342.12 ,4342.12 ,4284.98 ,4328.87 ,4529.66 ,4466.07 
3/7/2022,4327.01 ,4327.01 ,4199.85 ,4201.09 ,4519.75 ,4466.28 
3/8/2022,4202.66 ,4276.94 ,4157.87 ,4170.70 ,4508.65 ,4466.36 
3/9/2022,4223.10 ,4299.40 ,4223.10 ,4277.88 ,4498.38 ,4466.76 
3/10/2022,4252.55 ,4268.28 ,4209.80 ,4259.52 ,4487.85 ,4467.12 
3/11/2022,4279.50 ,4291.01 ,4200.49 ,4204.31 ,4476.07 ,4467.16 
3/14/2022,4202.75 ,4247.57 ,4161.72 ,4173.11 ,4463.96 ,4467.02 
3/15/2022,4188.82 ,4271.05 ,4187.90 ,4262.45 ,4453.88 ,4467.31 
3/16/2022,4288.14 ,4358.90 ,4251.99 ,4357.86 ,4445.11 ,4468.09 
3/17/2022,4345.11 ,4412.67 ,4335.65 ,4411.67 ,4437.47 ,4469.11 
3/18/2022,4407.34 ,4465.40 ,4390.57 ,4463.12 ,4432.72 ,4470.46 
3/21/2022,4462.40 ,4481.75 ,4424.30 ,4461.18 ,4428.03 ,4471.62 
3/22/2022,4469.10 ,4522.00 ,4469.10 ,4511.61 ,4424.72 ,4473.04 
3/23/2022,4493.10 ,4501.07 ,4455.81 ,4456.24 ,4420.44 ,4474.19 
3/24/2022,4469.98 ,4520.58 ,4465.17 ,4520.16 ,4416.58 ,4475.69 
3/25/2022,4522.91 ,4546.03 ,4501.07 ,4543.06 ,4412.91 ,4477.21 
3/28/2022,4541.09 ,4575.65 ,4517.69 ,4575.52 ,4411.24 ,4478.85 
3/29/2022,4602.86 ,4637.30 ,4589.66 ,4631.60 ,4410.62 ,4480.73 
3/30/2022,4624.20 ,4627.77 ,4581.32 ,4602.45 ,4411.12 ,4482.51 
3/31/2022,4599.02 ,4603.07 ,4530.41 ,4530.41 ,4411.08 ,4484.05 
4/1/2022,4540.32 ,4548.70 ,4507.57 ,4545.86 ,4412.34 ,4485.67 
4/4/2022,4547.97 ,4583.50 ,4539.21 ,4582.64 ,4416.03 ,4487.75 
4/5/2022,4572.45 ,4593.45 ,4514.17 ,4525.12 ,4418.33 ,4489.25 
4/6/2022,4494.17 ,4503.94 ,4450.04 ,4481.15 ,4420.83 ,4490.42 
4/7/2022,4474.65 ,4521.16 ,4450.30 ,4500.21 ,4423.83 ,4491.72 
4/8/2022,4494.15 ,4520.41 ,4474.60 ,4488.28 ,4427.07 ,4492.82 
4/11/2022,4462.64 ,4464.35 ,4408.38 ,4412.53 ,4426.68 ,4493.48 
4/12/2022,4437.59 ,4471.00 ,4381.34 ,4397.45 ,4424.32 ,4494.02 
4/13/2022,4394.30 ,4453.92 ,4392.70 ,4446.59 ,4422.32 ,4494.79 
4/14/2022,4449.12 ,4460.46 ,4390.77 ,4392.59 ,4418.38 ,4495.27 
4/18/2022,4385.63 ,4410.31 ,4370.30 ,4391.69 ,4416.67 ,4495.63 
4/19/2022,4390.63 ,4471.03 ,4390.63 ,4462.21 ,4415.90 ,4496.17 
4/20/2022,4472.26 ,4488.29 ,4448.76 ,4459.45 ,4415.41 ,4496.75 
4/21/2022,4489.17 ,4512.94 ,4384.47 ,4393.66 ,4412.86 ,4496.93 
4/22/2022,4385.83 ,4385.83 ,4267.62 ,4271.78 ,4406.55 ,4496.69 
4/25/2022,4255.34 ,4299.02 ,4200.82 ,4296.12 ,4402.39 ,4496.32 
4/26/2022,4278.14 ,4278.14 ,4175.04 ,4175.20 ,4397.52 ,4495.27 
4/27/2022,4186.52 ,4240.71 ,4162.90 ,4183.96 ,4393.17 ,4494.35 
4/28/2022,4222.58 ,4308.45 ,4188.63 ,4287.50 ,4389.50 ,4493.91 
4/29/2022,4253.75 ,4269.68 ,4124.28 ,4131.93 ,4382.63 ,4492.77 
5/2/2022,4130.61 ,4169.81 ,4062.51 ,4155.38 ,4378.14 ,4491.91 
5/3/2022,4159.78 ,4200.10 ,4147.08 ,4175.48 ,4374.67 ,4491.50 
5/4/2022,4181.18 ,4307.66 ,4148.91 ,4300.17 ,4374.58 ,4491.38 
5/5/2022,4270.43 ,4270.43 ,4106.01 ,4146.87 ,4373.00 ,4490.32 
5/6/2022,4128.17 ,4157.69 ,4067.91 ,4123.34 ,4369.70 ,4489.10 
5/9/2022,4081.27 ,4081.27 ,3975.48 ,3991.24 ,4361.83 ,4487.00 
5/10/2022,4035.18 ,4068.82 ,3958.17 ,4001.05 ,4354.37 ,4484.89 
5/11/2022,3990.08 ,4049.09 ,3928.82 ,3935.18 ,4346.95 ,4482.56 
5/12/2022,3903.95 ,3964.80 ,3858.87 ,3930.08 ,4337.82 ,4480.21 
5/13/2022,3963.90 ,4038.88 ,3963.90 ,4023.89 ,4331.03 ,4478.23 
5/16/2022,4013.02 ,4046.46 ,3983.99 ,4008.01 ,4324.61 ,4476.30 
5/17/2022,4052.00 ,4090.72 ,4033.93 ,4088.85 ,4322.37 ,4474.81 
5/18/2022,4051.98 ,4051.98 ,3911.91 ,3923.68 ,4317.43 ,4472.31 
5/19/2022,3899.00 ,3945.96 ,3876.58 ,3900.79 ,4309.88 ,4469.80 
5/20/2022,3927.76 ,3943.42 ,3810.32 ,3901.36 ,4302.72 ,4467.16 
5/23/2022,3919.42 ,3981.88 ,3909.04 ,3973.75 ,4298.11 ,4464.85 
5/24/2022,3942.94 ,3955.68 ,3875.13 ,3941.48 ,4293.48 ,4462.39 
5/25/2022,3929.59 ,3999.33 ,3925.03 ,3978.73 ,4287.80 ,4460.10 
5/26/2022,3984.60 ,4075.14 ,3984.60 ,4057.84 ,4281.80 ,4458.15 
5/27/2022,4077.25 ,4158.49 ,4077.43 ,4158.24 ,4276.73 ,4456.64 
5/31/2022,4151.09 ,4168.34 ,4104.88 ,4132.15 ,4270.11 ,4454.96 
6/1/2022,4149.78 ,4166.54 ,4073.85 ,4101.23 ,4262.92 ,4453.07 
6/2/2022,4095.41 ,4177.51 ,4074.37 ,4176.82 ,4256.22 ,4451.71 
6/3/2022,4137.57 ,4142.67 ,4098.67 ,4108.54 ,4249.27 ,4450.25 
6/6/2022,4134.72 ,4168.78 ,4109.18 ,4121.43 ,4241.29 ,4448.83 
6/7/2022,4096.47 ,4164.86 ,4080.19 ,4160.68 ,4233.64 ,4447.43 
6/8/2022,4147.12 ,4160.14 ,4107.20 ,4115.77 ,4224.45 ,4445.61 
6/9/2022,4101.65 ,4119.10 ,4017.17 ,4017.82 ,4212.17 ,4443.27 
6/10/2022,3974.39 ,3974.39 ,3900.16 ,3900.86 ,4198.14 ,4440.29 
6/13/2022,3838.15 ,3838.15 ,3734.30 ,3749.63 ,4182.53 ,4436.69 
6/14/2022,3763.52 ,3778.18 ,3705.68 ,3735.48 ,4166.32 ,4432.82 
6/15/2022,3764.05 ,3837.56 ,3722.30 ,3789.99 ,4150.46 ,4429.12 
6/16/2022,3728.18 ,3728.18 ,3639.77 ,3666.77 ,4133.30 ,4424.84 
6/17/2022,3665.90 ,3707.71 ,3636.87 ,3674.84 ,4117.17 ,4420.60 
6/21/2022,3715.31 ,3779.65 ,3715.31 ,3764.79 ,4102.46 ,4416.74 
6/22/2022,3733.89 ,3801.79 ,3717.69 ,3759.89 ,4087.90 ,4412.86 
6/23/2022,3774.71 ,3802.58 ,3743.52 ,3795.73 ,4075.56 ,4409.24 
6/24/2022,3821.75 ,3913.65 ,3821.75 ,3911.74 ,4065.85 ,4406.23 
6/27/2022,3920.76 ,3927.72 ,3889.66 ,3900.11 ,4054.92 ,4403.26 
6/28/2022,3913.00 ,3945.86 ,3820.14 ,3821.55 ,4043.49 ,4400.08 
6/29/2022,3825.09 ,3836.50 ,3799.02 ,3818.83 ,4032.04 ,4396.83 
6/30/2022,3785.99 ,3818.99 ,3738.67 ,3785.38 ,4018.50 ,4393.54 
7/1/2022,3781.08 ,3829.82 ,3752.10 ,3825.33 ,4005.82 ,4390.26 
7/5/2022,3792.61 ,3832.19 ,3742.06 ,3831.39 ,3994.57 ,4387.05 
7/6/2022,3831.98 ,3870.91 ,3809.37 ,3845.08 ,3986.04 ,4384.11 
7/7/2022,3858.85 ,3910.63 ,3858.85 ,3902.62 ,3978.17 ,4381.83 
7/8/2022,3888.26 ,3918.50 ,3869.34 ,3899.38 ,3972.65 ,4379.56 
7/11/2022,3880.94 ,3880.94 ,3847.22 ,3854.43 ,3966.06 ,4376.85 
7/12/2022,3851.95 ,3873.41 ,3802.36 ,3818.80 ,3956.69 ,4373.70 
7/13/2022,3779.67 ,3829.44 ,3759.07 ,3801.78 ,3950.09 ,4370.43 
7/14/2022,3763.99 ,3796.41 ,3721.56 ,3790.38 ,3942.79 ,4367.17 
7/15/2022,3818.00 ,3863.62 ,3817.18 ,3863.16 ,3936.54 ,4364.72 
7/18/2022,3883.79 ,3902.44 ,3818.63 ,3830.85 ,3927.15 ,4362.08 
7/19/2022,3860.73 ,3939.81 ,3860.73 ,3936.69 ,3922.95 ,4360.23 
7/20/2022,3935.32 ,3974.13 ,3922.03 ,3959.90 ,3919.68 ,4358.24 
7/21/2022,3955.47 ,3999.29 ,3927.64 ,3998.95 ,3919.83 ,4356.73 
7/22/2022,3998.43 ,4012.44 ,3938.86 ,3961.63 ,3919.05 ,4354.81 
7/25/2022,3965.72 ,3975.30 ,3943.46 ,3966.84 ,3919.68 ,4352.83 
7/26/2022,3953.22 ,3953.22 ,3910.74 ,3921.05 ,3919.50 ,4350.44 
